complaint_id,date,area,category,priority,status,days_to_resolve,complaint_text,resolved
CM-0200,2026-04-10,Dhanmondi,traffic,low,resolved,5,Frequent gridlock near bus stop reported in Dhanmondi.,0
CM-0201,2026-03-14,Mirpur,waste,medium,unresolved,20,Garbage has not been collected for several days in Mirpur.,0
CM-0202,2026-03-16,Demra,traffic,medium,resolved,7,Severe traffic congestion at peak hour in Demra intersection.,0
CM-0203,2026-03-13,Gulshan,waste,low,resolved,7,Waste pile near market area in Gulshan attracting stray animals.,0
CM-0204,2026-02-20,Mirpur,waste,medium,unresolved,9,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0205,2026-04-09,Demra,traffic,medium,resolved,7,Frequent gridlock near bus stop reported in Demra.,0
CM-0206,2026-02-26,Mohammadpur,road,medium,unresolved,8,Large pothole near the main road in Mohammadpur causing bike accidents.,0
CM-0207,2026-03-22,Demra,waste,low,resolved,6,Blocked drain in Demra due to accumulated plastic waste.,0
CM-0208,2026-03-17,Dhanmondi,traffic,low,resolved,2,Traffic police presence is low in Dhanmondi during rush hours.,0
CM-0209,2026-02-15,Mirpur,traffic,high,unresolved,6,Signal light malfunction causing long queues in Mirpur.,0
CM-0210,2026-04-06,Mirpur,road,medium,resolved,1,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0211,2026-03-21,Demra,water,low,unresolved,7,Residents in Demra report muddy tap water during morning hours.,0
CM-0212,2026-02-20,Uttara,traffic,medium,unresolved,13,Frequent gridlock near bus stop reported in Uttara.,0
CM-0213,2026-03-29,Mirpur,water,high,resolved,4,Residents in Mirpur report muddy tap water during morning hours.,0
CM-0214,2026-03-19,Mirpur,road,high,resolved,6,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0215,2026-04-08,Mirpur,road,high,resolved,6,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0216,2026-04-02,Demra,waste,low,resolved,7,Blocked drain in Demra due to accumulated plastic waste.,0
CM-0217,2026-03-04,Mohammadpur,road,medium,resolved,2,Broken pavement and uneven road surface reported in Mohammadpur.,0
CM-0218,2026-02-25,Farmgate,water,low,resolved,4,Low water pressure reported in multiple households in Farmgate.,0
CM-0219,2026-03-19,Mirpur,waste,medium,unresolved,12,Overflowing community bin in Mirpur is causing foul smell.,0
CM-0220,2026-02-24,Mohammadpur,waste,medium,unresolved,7,Illegal dumping spotted beside a residential lane in Mohammadpur.,0
CM-0221,2026-03-03,Dhanmondi,water,low,unresolved,15,Low water pressure reported in multiple households in Dhanmondi.,0
CM-0222,2026-03-29,Mohammadpur,waste,low,unresolved,6,Illegal dumping spotted beside a residential lane in Mohammadpur.,0
CM-0223,2026-03-13,Uttara,traffic,medium,unresolved,5,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0224,2026-03-30,Demra,road,low,unresolved,6,Drain cover is missing on a busy road in Demra.,0
CM-0225,2026-03-02,Mirpur,road,medium,unresolved,18,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0226,2026-04-07,Dhanmondi,waste,low,resolved,6,Blocked drain in Dhanmondi due to accumulated plastic waste.,0
CM-0227,2026-02-24,Mohammadpur,road,low,unresolved,6,Drain cover is missing on a busy road in Mohammadpur.,0
CM-0228,2026-04-03,Mohammadpur,water,medium,resolved,2,No municipal water available in part of Mohammadpur since last night.,0
CM-0229,2026-04-07,Mirpur,waste,high,resolved,3,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0230,2026-02-21,Mirpur,traffic,high,unresolved,17,Signal light malfunction causing long queues in Mirpur.,0
CM-0231,2026-03-02,Farmgate,road,low,unresolved,10,"Road repair work is incomplete in Farmgate, creating traffic bottlenecks.",0
CM-0232,2026-02-18,Farmgate,waste,low,unresolved,17,Waste pile near market area in Farmgate attracting stray animals.,0
CM-0233,2026-02-26,Mohammadpur,traffic,medium,unresolved,11,Traffic police presence is low in Mohammadpur during rush hours.,0
CM-0234,2026-03-07,Uttara,water,low,resolved,7,Residents in Uttara report muddy tap water during morning hours.,0
CM-0235,2026-03-23,Dhanmondi,road,low,resolved,2,Street section in Dhanmondi is flooded after rain due to damaged road drainage.,0
CM-0236,2026-03-29,Farmgate,traffic,low,unresolved,20,Traffic police presence is low in Farmgate during rush hours.,0
CM-0237,2026-02-10,Farmgate,traffic,low,resolved,1,Severe traffic congestion at peak hour in Farmgate intersection.,0
CM-0238,2026-02-14,Farmgate,road,low,unresolved,19,Drain cover is missing on a busy road in Farmgate.,0
CM-0239,2026-04-01,Mirpur,water,high,resolved,6,Intermittent water supply disruption observed in Mirpur.,0
CM-0240,2026-04-10,Gulshan,waste,low,resolved,6,Illegal dumping spotted beside a residential lane in Gulshan.,0
CM-0241,2026-03-15,Mirpur,road,high,resolved,6,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0242,2026-02-12,Mohammadpur,traffic,low,unresolved,20,Traffic police presence is low in Mohammadpur during rush hours.,0
CM-0243,2026-03-18,Dhanmondi,road,low,resolved,6,"Road repair work is incomplete in Dhanmondi, creating traffic bottlenecks.",0
CM-0244,2026-02-11,Farmgate,water,low,unresolved,7,Low water pressure reported in multiple households in Farmgate.,0
CM-0245,2026-04-06,Gulshan,traffic,medium,resolved,2,Severe traffic congestion at peak hour in Gulshan intersection.,0
CM-0246,2026-04-09,Uttara,water,low,resolved,5,Leakage from underground supply line in Uttara wasting clean water.,0
CM-0247,2026-04-02,Dhanmondi,water,low,resolved,1,No municipal water available in part of Dhanmondi since last night.,0
CM-0248,2026-03-29,Mirpur,road,medium,resolved,4,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0249,2026-03-17,Uttara,traffic,medium,unresolved,20,Traffic police presence is low in Uttara during rush hours.,0
CM-0250,2026-02-17,Demra,waste,low,unresolved,8,Illegal dumping spotted beside a residential lane in Demra.,0
CM-0251,2026-03-02,Mohammadpur,traffic,medium,resolved,1,Unauthorized roadside parking worsening traffic flow in Mohammadpur.,0
CM-0252,2026-02-15,Mirpur,traffic,high,resolved,1,Traffic police presence is low in Mirpur during rush hours.,0
CM-0253,2026-04-06,Mirpur,waste,medium,resolved,7,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0254,2026-03-15,Mirpur,traffic,high,unresolved,13,Signal light malfunction causing long queues in Mirpur.,0
CM-0255,2026-03-01,Mohammadpur,road,low,resolved,7,Large pothole near the main road in Mohammadpur causing bike accidents.,0
CM-0256,2026-02-11,Mohammadpur,traffic,medium,unresolved,9,Unauthorized roadside parking worsening traffic flow in Mohammadpur.,0
CM-0257,2026-03-29,Uttara,traffic,low,resolved,7,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0258,2026-03-14,Dhanmondi,waste,low,unresolved,16,Garbage has not been collected for several days in Dhanmondi.,0
CM-0259,2026-03-30,Gulshan,water,low,resolved,7,Residents in Gulshan report muddy tap water during morning hours.,0
CM-0260,2026-04-01,Mirpur,traffic,high,unresolved,15,Traffic police presence is low in Mirpur during rush hours.,0
CM-0261,2026-03-08,Mohammadpur,road,medium,unresolved,5,Large pothole near the main road in Mohammadpur causing bike accidents.,0
CM-0262,2026-03-30,Farmgate,traffic,low,resolved,6,Signal light malfunction causing long queues in Farmgate.,0
CM-0263,2026-03-02,Gulshan,traffic,medium,resolved,7,Severe traffic congestion at peak hour in Gulshan intersection.,0
CM-0264,2026-04-05,Mirpur,waste,medium,resolved,3,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0265,2026-03-05,Uttara,road,low,resolved,3,Large pothole near the main road in Uttara causing bike accidents.,0
CM-0266,2026-03-15,Mirpur,water,medium,unresolved,17,Low water pressure reported in multiple households in Mirpur.,0
CM-0267,2026-03-10,Mirpur,waste,medium,resolved,4,Overflowing community bin in Mirpur is causing foul smell.,0
CM-0268,2026-02-10,Uttara,water,medium,unresolved,16,Intermittent water supply disruption observed in Uttara.,0
CM-0269,2026-03-05,Mirpur,waste,high,resolved,1,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0270,2026-02-16,Uttara,road,low,resolved,6,"Road repair work is incomplete in Uttara, creating traffic bottlenecks.",0
CM-0271,2026-03-30,Uttara,water,medium,resolved,6,Intermittent water supply disruption observed in Uttara.,0
CM-0272,2026-03-02,Demra,traffic,medium,unresolved,15,Traffic police presence is low in Demra during rush hours.,0
CM-0273,2026-03-12,Uttara,traffic,low,unresolved,12,Signal light malfunction causing long queues in Uttara.,0
CM-0274,2026-04-03,Mirpur,waste,medium,resolved,6,Overflowing community bin in Mirpur is causing foul smell.,0
CM-0275,2026-02-21,Mirpur,traffic,high,unresolved,7,Signal light malfunction causing long queues in Mirpur.,0
CM-0276,2026-03-10,Mohammadpur,water,low,resolved,6,Residents in Mohammadpur report muddy tap water during morning hours.,0
CM-0277,2026-03-18,Uttara,road,medium,unresolved,9,"Road repair work is incomplete in Uttara, creating traffic bottlenecks.",0
CM-0278,2026-03-08,Demra,road,low,unresolved,14,"Road repair work is incomplete in Demra, creating traffic bottlenecks.",0
CM-0279,2026-03-15,Gulshan,water,low,unresolved,18,Low water pressure reported in multiple households in Gulshan.,0
CM-0280,2026-03-31,Uttara,waste,low,unresolved,7,Overflowing community bin in Uttara is causing foul smell.,0
CM-0281,2026-04-10,Mirpur,road,medium,resolved,4,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0282,2026-03-27,Gulshan,traffic,low,resolved,1,Traffic police presence is low in Gulshan during rush hours.,0
CM-0283,2026-03-15,Mohammadpur,waste,low,resolved,7,Overflowing community bin in Mohammadpur is causing foul smell.,0
CM-0284,2026-03-14,Mirpur,road,high,resolved,4,Drain cover is missing on a busy road in Mirpur.,0
CM-0285,2026-03-03,Farmgate,water,low,unresolved,18,Low water pressure reported in multiple households in Farmgate.,0
CM-0286,2026-02-22,Mohammadpur,traffic,medium,resolved,2,Signal light malfunction causing long queues in Mohammadpur.,0
CM-0287,2026-02-20,Uttara,waste,low,resolved,5,Blocked drain in Uttara due to accumulated plastic waste.,0
CM-0288,2026-03-08,Mirpur,road,medium,unresolved,15,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0289,2026-04-10,Uttara,traffic,medium,resolved,5,Signal light malfunction causing long queues in Uttara.,0
CM-0290,2026-02-21,Mirpur,traffic,medium,unresolved,20,Traffic police presence is low in Mirpur during rush hours.,0
CM-0291,2026-03-21,Mirpur,road,high,unresolved,20,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0292,2026-03-16,Mirpur,water,medium,resolved,6,No municipal water available in part of Mirpur since last night.,0
CM-0293,2026-03-07,Mirpur,road,high,resolved,4,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0294,2026-03-29,Uttara,traffic,medium,unresolved,10,Frequent gridlock near bus stop reported in Uttara.,0
CM-0295,2026-03-31,Dhanmondi,road,low,resolved,2,"Road repair work is incomplete in Dhanmondi, creating traffic bottlenecks.",0
CM-0296,2026-02-18,Demra,water,low,resolved,5,Intermittent water supply disruption observed in Demra.,0
CM-0297,2026-02-10,Mohammadpur,road,medium,unresolved,16,Drain cover is missing on a busy road in Mohammadpur.,0
CM-0298,2026-03-13,Mirpur,road,high,resolved,2,"Road repair work is incomplete in Mirpur, creating traffic bottlenecks.",0
CM-0299,2026-03-03,Mohammadpur,water,medium,unresolved,9,Residents in Mohammadpur report muddy tap water during morning hours.,0
CM-0300,2026-04-02,Mohammadpur,waste,low,unresolved,15,Overflowing community bin in Mohammadpur is causing foul smell.,0
CM-0301,2026-02-22,Mirpur,road,high,resolved,5,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0302,2026-02-14,Mohammadpur,traffic,medium,unresolved,18,Traffic police presence is low in Mohammadpur during rush hours.,0
CM-0303,2026-03-09,Mirpur,waste,medium,unresolved,17,Garbage has not been collected for several days in Mirpur.,0
CM-0304,2026-02-13,Demra,waste,low,resolved,7,Waste pile near market area in Demra attracting stray animals.,0
CM-0305,2026-03-04,Gulshan,traffic,low,unresolved,9,Signal light malfunction causing long queues in Gulshan.,0
CM-0306,2026-03-11,Uttara,water,low,unresolved,20,No municipal water available in part of Uttara since last night.,0
CM-0307,2026-03-24,Mirpur,water,medium,resolved,5,Residents in Mirpur report muddy tap water during morning hours.,0
CM-0308,2026-02-22,Mohammadpur,water,medium,resolved,3,Residents in Mohammadpur report muddy tap water during morning hours.,0
CM-0309,2026-04-06,Demra,waste,low,unresolved,20,Waste pile near market area in Demra attracting stray animals.,0
CM-0310,2026-02-17,Mirpur,water,medium,unresolved,12,No municipal water available in part of Mirpur since last night.,0
CM-0311,2026-03-29,Mirpur,water,high,resolved,3,No municipal water available in part of Mirpur since last night.,0
CM-0312,2026-02-20,Mirpur,road,medium,resolved,5,Drain cover is missing on a busy road in Mirpur.,0
CM-0313,2026-02-20,Mirpur,road,high,unresolved,18,Drain cover is missing on a busy road in Mirpur.,0
CM-0314,2026-02-13,Mirpur,water,medium,unresolved,8,Leakage from underground supply line in Mirpur wasting clean water.,0
CM-0315,2026-03-09,Mohammadpur,road,medium,resolved,4,"Road repair work is incomplete in Mohammadpur, creating traffic bottlenecks.",0
CM-0316,2026-03-28,Mirpur,traffic,high,resolved,3,Frequent gridlock near bus stop reported in Mirpur.,0
CM-0317,2026-04-03,Uttara,water,medium,resolved,4,Low water pressure reported in multiple households in Uttara.,0
CM-0318,2026-02-16,Gulshan,waste,low,unresolved,9,Blocked drain in Gulshan due to accumulated plastic waste.,0
CM-0319,2026-02-20,Mohammadpur,traffic,low,unresolved,10,Severe traffic congestion at peak hour in Mohammadpur intersection.,0
CM-0320,2026-04-05,Mirpur,road,high,resolved,1,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0321,2026-04-05,Mohammadpur,waste,low,resolved,6,Overflowing community bin in Mohammadpur is causing foul smell.,0
CM-0322,2026-03-03,Uttara,traffic,medium,unresolved,7,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0323,2026-02-23,Mirpur,water,high,unresolved,9,Leakage from underground supply line in Mirpur wasting clean water.,0
CM-0324,2026-02-19,Dhanmondi,traffic,low,resolved,7,Frequent gridlock near bus stop reported in Dhanmondi.,0
CM-0325,2026-03-14,Mirpur,road,medium,resolved,5,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0326,2026-03-07,Mirpur,waste,high,resolved,2,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0327,2026-03-04,Mirpur,water,medium,resolved,5,Leakage from underground supply line in Mirpur wasting clean water.,0
CM-0328,2026-03-15,Uttara,road,low,unresolved,18,"Road repair work is incomplete in Uttara, creating traffic bottlenecks.",0
CM-0329,2026-03-14,Mirpur,water,medium,resolved,4,Intermittent water supply disruption observed in Mirpur.,0
CM-0330,2026-03-12,Demra,traffic,medium,resolved,5,Frequent gridlock near bus stop reported in Demra.,0
CM-0331,2026-03-17,Demra,road,low,resolved,4,Broken pavement and uneven road surface reported in Demra.,0
CM-0332,2026-03-12,Uttara,traffic,medium,unresolved,11,Signal light malfunction causing long queues in Uttara.,0
CM-0333,2026-03-03,Mirpur,road,medium,resolved,4,"Road repair work is incomplete in Mirpur, creating traffic bottlenecks.",0
CM-0334,2026-04-09,Farmgate,road,low,resolved,3,"Road repair work is incomplete in Farmgate, creating traffic bottlenecks.",0
CM-0335,2026-03-23,Dhanmondi,water,low,resolved,3,Residents in Dhanmondi report muddy tap water during morning hours.,0
CM-0336,2026-02-15,Uttara,traffic,low,resolved,6,Signal light malfunction causing long queues in Uttara.,0
CM-0337,2026-03-01,Mirpur,road,high,unresolved,9,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0338,2026-02-10,Uttara,water,medium,resolved,3,Residents in Uttara report muddy tap water during morning hours.,0
CM-0339,2026-03-28,Uttara,traffic,medium,resolved,3,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0340,2026-02-10,Mohammadpur,water,low,unresolved,15,Intermittent water supply disruption observed in Mohammadpur.,0
CM-0341,2026-03-07,Farmgate,water,low,unresolved,15,No municipal water available in part of Farmgate since last night.,0
CM-0342,2026-03-21,Dhanmondi,road,low,unresolved,20,Drain cover is missing on a busy road in Dhanmondi.,0
CM-0343,2026-02-10,Mirpur,water,high,unresolved,13,Low water pressure reported in multiple households in Mirpur.,0
CM-0344,2026-03-31,Demra,road,low,unresolved,19,Drain cover is missing on a busy road in Demra.,0
CM-0345,2026-04-04,Mirpur,traffic,high,resolved,2,Frequent gridlock near bus stop reported in Mirpur.,0
CM-0346,2026-03-15,Mirpur,water,high,resolved,4,Low water pressure reported in multiple households in Mirpur.,0
CM-0347,2026-03-01,Mohammadpur,waste,low,unresolved,7,Garbage has not been collected for several days in Mohammadpur.,0
CM-0348,2026-02-26,Farmgate,traffic,low,unresolved,19,Unauthorized roadside parking worsening traffic flow in Farmgate.,0
CM-0349,2026-02-25,Dhanmondi,waste,low,unresolved,5,Overflowing community bin in Dhanmondi is causing foul smell.,0
CM-0350,2026-04-09,Uttara,water,low,resolved,4,No municipal water available in part of Uttara since last night.,0
CM-0351,2026-02-18,Demra,road,low,unresolved,12,Large pothole near the main road in Demra causing bike accidents.,0
CM-0352,2026-04-08,Mirpur,waste,medium,resolved,1,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0353,2026-03-05,Mohammadpur,road,medium,unresolved,19,Drain cover is missing on a busy road in Mohammadpur.,0
CM-0354,2026-02-12,Mirpur,water,high,resolved,2,No municipal water available in part of Mirpur since last night.,0
CM-0355,2026-04-06,Uttara,road,low,resolved,6,Drain cover is missing on a busy road in Uttara.,0
CM-0356,2026-03-16,Farmgate,road,low,resolved,5,"Road repair work is incomplete in Farmgate, creating traffic bottlenecks.",0
CM-0357,2026-02-26,Mohammadpur,waste,low,unresolved,13,Garbage has not been collected for several days in Mohammadpur.,0
CM-0358,2026-02-26,Dhanmondi,road,low,unresolved,14,Street section in Dhanmondi is flooded after rain due to damaged road drainage.,0
CM-0359,2026-02-13,Demra,road,low,unresolved,18,"Road repair work is incomplete in Demra, creating traffic bottlenecks.",0
CM-0360,2026-03-27,Demra,traffic,low,unresolved,15,Traffic police presence is low in Demra during rush hours.,0
CM-0361,2026-03-01,Mirpur,road,medium,unresolved,15,Drain cover is missing on a busy road in Mirpur.,0
CM-0362,2026-03-13,Gulshan,waste,low,unresolved,16,Illegal dumping spotted beside a residential lane in Gulshan.,0
CM-0363,2026-02-21,Mohammadpur,waste,low,unresolved,20,Overflowing community bin in Mohammadpur is causing foul smell.,0
CM-0364,2026-02-16,Uttara,road,low,unresolved,7,Large pothole near the main road in Uttara causing bike accidents.,0
CM-0365,2026-03-29,Mirpur,road,medium,resolved,4,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0366,2026-03-25,Mirpur,waste,high,resolved,6,Garbage has not been collected for several days in Mirpur.,0
CM-0367,2026-03-21,Mirpur,road,medium,resolved,4,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0368,2026-03-19,Uttara,water,low,unresolved,17,Residents in Uttara report muddy tap water during morning hours.,0
CM-0369,2026-04-05,Uttara,road,medium,resolved,6,Street section in Uttara is flooded after rain due to damaged road drainage.,0
CM-0370,2026-03-05,Gulshan,waste,low,resolved,2,Blocked drain in Gulshan due to accumulated plastic waste.,0
CM-0371,2026-03-20,Mohammadpur,road,medium,resolved,4,"Road repair work is incomplete in Mohammadpur, creating traffic bottlenecks.",0
CM-0372,2026-03-21,Mohammadpur,road,medium,resolved,4,Broken pavement and uneven road surface reported in Mohammadpur.,0
CM-0373,2026-03-24,Uttara,traffic,medium,unresolved,12,Frequent gridlock near bus stop reported in Uttara.,0
CM-0374,2026-03-11,Mirpur,waste,medium,resolved,7,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0375,2026-02-26,Mirpur,waste,high,unresolved,18,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0376,2026-02-18,Dhanmondi,water,low,resolved,5,Residents in Dhanmondi report muddy tap water during morning hours.,0
CM-0377,2026-03-08,Mirpur,waste,high,resolved,2,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0378,2026-03-01,Mirpur,road,high,unresolved,12,Drain cover is missing on a busy road in Mirpur.,0
CM-0379,2026-04-07,Dhanmondi,traffic,low,resolved,5,Unauthorized roadside parking worsening traffic flow in Dhanmondi.,0
CM-0380,2026-03-21,Mirpur,waste,high,unresolved,15,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0381,2026-02-15,Mirpur,water,medium,unresolved,19,Intermittent water supply disruption observed in Mirpur.,0
CM-0382,2026-02-27,Mohammadpur,waste,medium,unresolved,18,Illegal dumping spotted beside a residential lane in Mohammadpur.,0
CM-0383,2026-03-21,Mirpur,waste,medium,resolved,1,Overflowing community bin in Mirpur is causing foul smell.,0
CM-0384,2026-04-08,Mirpur,road,high,resolved,2,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0385,2026-02-11,Dhanmondi,waste,low,unresolved,10,Waste pile near market area in Dhanmondi attracting stray animals.,0
CM-0386,2026-04-09,Mirpur,water,high,resolved,1,Intermittent water supply disruption observed in Mirpur.,0
CM-0387,2026-04-09,Uttara,waste,medium,resolved,6,Illegal dumping spotted beside a residential lane in Uttara.,0
CM-0388,2026-02-16,Uttara,traffic,medium,resolved,1,Traffic police presence is low in Uttara during rush hours.,0
CM-0389,2026-03-15,Mirpur,traffic,medium,unresolved,17,Severe traffic congestion at peak hour in Mirpur intersection.,0
CM-0390,2026-04-08,Gulshan,traffic,low,resolved,3,Severe traffic congestion at peak hour in Gulshan intersection.,0
CM-0391,2026-02-18,Mirpur,waste,medium,unresolved,5,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0392,2026-03-18,Uttara,traffic,medium,unresolved,19,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0393,2026-04-07,Dhanmondi,water,low,resolved,3,Low water pressure reported in multiple households in Dhanmondi.,0
CM-0394,2026-04-01,Dhanmondi,water,low,resolved,7,Residents in Dhanmondi report muddy tap water during morning hours.,0
CM-0395,2026-03-12,Mohammadpur,water,low,resolved,7,No municipal water available in part of Mohammadpur since last night.,0
CM-0396,2026-03-10,Mirpur,water,medium,resolved,2,No municipal water available in part of Mirpur since last night.,0
CM-0397,2026-03-19,Mirpur,waste,medium,unresolved,16,Garbage has not been collected for several days in Mirpur.,0
CM-0398,2026-02-21,Mirpur,waste,high,unresolved,11,Garbage has not been collected for several days in Mirpur.,0
CM-0399,2026-03-26,Mohammadpur,traffic,medium,resolved,2,Signal light malfunction causing long queues in Mohammadpur.,0
